country,p0p1,p1p2,p2p3,p3p4,p4p5,p5p6,p6p7,p7p8,p8p9,p9p10,p10p11,p11p12,p12p13,p13p14,p14p15,p15p16,p16p17,p17p18,p18p19,p19p20,p20p21,p21p22,p22p23,p23p24,p24p25,p25p26,p26p27,p27p28,p28p29,p29p30,p30p31,p31p32,p32p33,p33p34,p34p35,p35p36,p36p37,p37p38,p38p39,p39p40,p40p41,p41p42,p42p43,p43p44,p44p45,p45p46,p46p47,p47p48,p48p49,p49p50,p50p51,p51p52,p52p53,p53p54,p54p55,p55p56,p56p57,p57p58,p58p59,p59p60,p60p61,p61p62,p62p63,p63p64,p64p65,p65p66,p66p67,p67p68,p68p69,p69p70,p70p71,p71p72,p72p73,p73p74,p74p75,p75p76,p76p77,p77p78,p78p79,p79p80,p80p81,p81p82,p82p83,p83p84,p84p85,p85p86,p86p87,p87p88,p88p89,p89p90,p90p91,p91p92,p92p93,p93p94,p94p95,p95p96,p96p97,p97p98,p98p99,p99p100
AD (EUR),-274392.943,-95346.815,-44204.016,-29701.068,-20763.591,-14310.904,-9511.370,-5851.833,-3046.126,-794.845,1136.202,2687.735,3974.613,5100.302,6184.624,7248.310,8267.125,9294.505,10296.967,11422.657,12637.993,14026.781,15593.110,17168.199,18808.211,20616.711,22585.913,24661.698,26831.023,29149.271,31589.287,34043.806,36597.510,39258.478,41956.044,44776.351,47632.867,50431.079,53199.992,55926.078,58667.446,61566.595,64552.859,67577.961,70770.772,74109.879,77575.523,80988.703,84343.287,87774.473,91274.087,94929.341,98689.329,102557.165,106430.646,110305.489,114335.292,118628.875,123159.470,127760.342,132596.378,137679.841,142863.268,148224.723,153775.983,159575.254,165613.680,171760.148,178267.830,185186.366,192285.850,199690.190,207645.938,216185.117,225120.063,234449.707,244322.679,254869.897,265966.187,277609.796,289927.943,303187.814,317736.023,333407.001,350270.831,368560.436,388639.270,411042.776,436358.084,465104.190,498220.580,537278.546,583978.157,641053.382,713802.701,808354.477,939614.725,1139925.529,1510548.512,2064163.717
AE (AED),-168884.494,-57265.236,-24199.258,-15264.758,-10276.500,-6928.123,-4460.707,-2616.249,-1193.087,-28.493,935.787,1687.315,2339.010,2902.069,3412.135,3916.994,4404.180,4916.890,5399.678,5918.190,6499.866,7212.810,8006.969,8769.236,9555.300,10444.274,11426.227,12403.378,13410.101,14514.228,15640.319,16763.631,17970.047,19226.218,20496.284,21836.099,23189.297,24494.116,25846.963,27210.792,28527.105,29922.530,31384.303,32864.990,34410.138,36036.177,37724.355,39361.025,40970.821,42635.822,44365.688,46181.842,48028.485,49940.667,51857.302,53764.547,55736.035,57847.722,60103.628,62409.126,64856.791,67414.894,70005.403,72704.810,75516.921,78489.331,81639.957,84860.305,88315.881,92043.138,95846.834,99820.059,104128.372,108753.425,113600.163,118634.505,124036.693,129946.032,136218.576,142786.194,149671.038,157224.684,165603.653,174668.313,184465.264,195451.658,207525.749,220828.461,236054.554,253197.767,273390.154,297668.792,326495.262,361703.255,406358.891,464481.073,545396.943,668215.348,898634.294,1243712.551
AF (AFN),-6829.189,-2365.370,-1083.751,-722.918,-503.824,-346.323,-228.373,-138.481,-69.558,-14.051,33.027,70.393,101.754,129.079,155.217,180.906,205.448,230.567,254.925,282.045,311.638,346.176,385.080,423.715,463.917,508.441,556.879,607.486,660.360,717.086,776.227,835.327,897.296,962.032,1027.635,1096.448,1166.006,1233.898,1301.462,1368.126,1434.937,1505.796,1578.874,1652.791,1730.809,1812.466,1897.176,1980.196,2061.574,2145.114,2230.749,2320.297,2412.015,2506.327,2600.726,2695.014,2792.990,2897.506,3008.118,3120.395,3238.656,3363.085,3489.733,3620.670,3756.393,3898.684,4047.418,4198.907,4359.793,4531.273,4706.878,4889.940,5087.132,5298.871,5520.576,5752.027,5997.182,6260.837,6539.178,6830.454,7137.880,7470.324,7836.445,8231.083,8655.776,9118.281,9625.735,10191.480,10832.758,11559.712,12403.323,13404.910,14601.111,16062.783,17924.702,20345.463,23707.562,28832.801,38331.573,52540.981
AG (XCD),-85369.653,-29110.452,-12568.295,-8042.078,-5463.185,-3697.573,-2385.812,-1399.402,-639.426,-19.131,495.881,897.376,1243.916,1543.453,1819.108,2092.071,2354.012,2629.698,2891.100,3173.977,3490.238,3875.420,4305.325,4719.964,5148.634,5630.896,6160.700,6693.608,7245.045,7846.938,8462.640,9074.985,9730.343,10414.714,11106.940,11837.016,12573.775,13285.448,14016.094,14748.989,15463.735,16222.539,17013.935,17814.547,18652.757,19533.599,20447.762,21335.287,22206.183,23106.410,24040.273,25020.349,26017.306,27046.982,28078.495,29105.638,30168.983,31306.539,32519.827,33757.250,35068.726,36443.074,37835.856,39282.800,40788.878,42379.937,44061.898,45780.348,47621.058,49601.036,51621.873,53730.763,56015.283,58467.926,61037.825,63710.821,66568.506,69686.579,72995.739,76456.171,80086.311,84057.544,88458.682,93214.912,98348.723,104066.785,110346.102,117286.542,125218.365,134160.163,144676.422,157305.056,172316.777,190655.047,213944.846,244258.672,286424.369,350452.179,470128.112,649177.360
AI (XCD),-348429.711,-118782.867,-51235.927,-32763.710,-22248.316,-15055.153,-9712.871,-5696.526,-2601.962,-75.867,2021.116,3655.978,5067.298,6287.089,7408.985,8519.833,9586.093,10708.389,11772.253,12923.098,14209.904,15777.816,17527.409,19214.712,20958.715,22921.201,25077.679,27245.737,29488.863,31937.562,34442.295,36933.386,39600.101,42384.609,45200.929,48171.244,51168.978,54064.225,57038.067,60021.759,62930.250,66017.826,69238.568,72496.977,75907.985,79492.754,83213.019,86824.741,90369.181,94033.012,97834.134,101823.326,105881.198,110072.701,114271.791,118452.913,122781.110,127411.642,132350.832,137388.781,142728.468,148323.572,153993.612,159884.862,166017.023,172495.509,179345.010,186343.250,193840.013,201904.846,210136.052,218726.295,228032.347,238023.329,248491.873,259379.812,271021.894,283726.442,297209.623,311309.853,326101.003,342284.174,360219.932,379603.747,400527.457,423839.505,449440.731,477733.163,510069.557,546521.256,589394.673,640883.555,702085.308,776848.638,871793.780,995374.019,1167276.304,1428300.095,1916261.556,2646332.170
AL (ALL),-61747.630,-21488.013,-10012.357,-6743.355,-4716.380,-3252.304,-2168.188,-1341.776,-707.995,-200.074,238.284,592.791,885.230,1141.555,1389.241,1632.144,1865.096,2098.442,2326.697,2583.911,2860.314,3172.747,3525.008,3881.308,4252.317,4660.598,5105.568,5576.210,6067.903,6592.546,7147.526,7707.829,8288.724,8893.317,9506.271,10146.036,10794.635,11431.042,12059.762,12678.612,13301.407,13958.910,14636.077,15322.676,16046.879,16804.110,17590.244,18366.435,19130.589,19910.868,20705.044,21534.290,22389.169,23268.871,24150.265,25032.729,25950.909,26928.456,27958.472,29005.182,30104.331,31258.818,32437.079,33656.210,34918.075,36234.353,37602.653,38995.349,40467.947,42031.694,43638.014,45313.686,47111.940,49041.438,51059.399,53166.241,55395.372,57768.900,60261.618,62881.305,65655.252,68634.241,71895.776,75407.876,79187.918,83282.694,87779.911,92798.107,98460.597,104894.879,112279.852,120959.183,131340.248,144029.744,160208.906,181236.150,210416.956,254957.895,337297.724,460102.134
AM (AMD),-88857.987,-30799.211,-14149.571,-9455.621,-6595.874,-4537.275,-2997.308,-1823.366,-923.399,-199.244,416.321,906.041,1316.065,1673.594,2016.128,2352.592,2674.180,3002.328,3320.965,3676.436,4063.389,4513.139,5019.970,5524.584,6049.791,6630.928,7263.194,7925.101,8616.818,9358.238,10132.676,10907.516,11718.682,12565.596,13423.945,14323.712,15233.559,16122.330,17005.492,17876.339,18749.944,19675.987,20630.703,21596.620,22616.296,23683.281,24790.252,25876.204,26941.180,28033.584,29152.174,30321.567,31520.288,32752.950,33986.837,35219.670,36500.881,37867.345,39312.641,40779.658,42324.157,43949.082,45603.534,47314.120,49086.782,50943.772,52883.194,54858.226,56954.311,59187.225,61474.775,63859.692,66427.327,69184.197,72070.518,75084.018,78275.109,81702.301,85317.928,89103.453,93100.974,97419.795,102172.750,107295.224,112807.488,118804.189,125384.288,132722.139,141034.109,150460.166,161382.918,174334.340,189806.530,208713.046,232799.932,264113.280,307600.026,373910.566,496762.635,680513.914
AO (AOA),-80222.188,-25590.169,-8348.580,-4453.937,-2736.832,-1863.959,-1321.842,-950.819,-671.752,-445.359,-248.500,-91.792,51.003,189.154,276.908,348.028,436.284,505.915,552.386,595.466,641.481,697.564,761.811,820.652,877.854,958.011,1062.696,1158.248,1248.948,1346.331,1448.418,1573.655,1700.267,1815.241,1935.343,2055.808,2180.721,2308.807,2467.019,2631.702,2755.869,2880.939,3029.364,3185.029,3338.882,3510.206,3684.755,3851.248,4035.226,4217.427,4408.480,4607.474,4810.403,5038.256,5270.758,5498.490,5725.271,5984.893,6262.178,6557.729,6888.200,7204.827,7524.980,7897.998,8285.355,8679.439,9115.440,9559.149,10041.897,10589.743,11163.405,11780.684,12454.176,13182.640,13948.708,14727.395,15620.948,16629.606,17693.122,18837.109,20060.081,21465.780,23038.515,24808.516,26777.040,29135.001,31785.944,34613.980,37860.424,41502.221,45769.647,50853.961,56832.245,64071.561,72895.796,84271.132,100619.364,125974.690,178659.280,262542.830
AR (ARS),-68144.428,-23547.243,-10692.687,-7087.922,-4922.618,-3374.837,-2213.434,-1329.394,-651.233,-103.529,358.266,722.519,1030.447,1298.141,1552.814,1803.567,2042.909,2290.062,2528.673,2792.852,3082.907,3425.444,3810.608,4190.257,4584.975,5023.390,5500.549,5995.635,6512.480,7068.663,7645.578,8220.239,8825.841,9459.235,10100.892,10775.095,11455.948,12118.898,12781.957,13437.855,14092.830,14788.302,15506.594,16232.673,16998.480,17800.474,18632.316,19445.453,20241.792,21060.905,21903.243,22784.907,23685.868,24612.458,25539.850,26465.455,27426.673,28452.646,29540.439,30644.979,31809.839,33035.609,34281.844,35570.463,36907.345,38311.993,39783.860,41284.072,42880.382,44584.736,46328.218,48145.512,50105.875,52210.996,54415.788,56716.456,59156.093,61789.731,64575.095,67486.673,70554.850,73881.325,77551.580,81509.408,85769.887,90426.723,95535.485,101224.997,107686.720,115003.268,123527.328,133682.474,145799.808,160605.611,179457.639,203975.669,238034.201,289905.385,386149.879,530133.625
AT (EUR),-536345.723,-167020.159,-48663.334,-24824.144,-14452.752,-7867.371,-3415.906,-1033.796,-77.594,250.264,635.628,1052.045,1496.908,2002.956,2585.756,3233.575,3941.506,4883.370,5951.057,6781.743,7536.523,8512.046,9679.869,10894.846,11993.125,13002.232,14126.044,15548.654,17173.761,18682.706,20090.518,21587.809,23204.175,25078.089,27109.184,29147.104,31535.194,34396.593,37004.814,39719.535,42647.794,45735.842,49304.482,52681.821,55765.804,58854.618,61493.969,63540.936,65812.635,69217.116,73112.848,77136.702,81375.627,85148.374,88653.068,92390.622,96193.118,100058.257,104101.893,108357.686,112712.772,116849.491,121132.043,125725.049,130442.573,135356.306,140559.331,145535.477,151304.739,157819.273,163176.949,168554.407,174417.978,181031.806,188103.913,195526.652,204384.958,213114.835,221237.838,229278.339,238146.613,247186.944,256614.402,268754.281,282944.731,300567.265,323186.417,343313.278,362793.625,387720.205,417195.014,459564.098,508551.993,554303.783,615132.144,700692.718,793558.259,916071.662,1189867.798,1711185.024
